Last position of orbit,   A
 -6.58009882e-04   0.00000000e+00   2.44325664e+00   1.00000000e+00 0.2032
-0.07987239  0.          3.52431022  1.         0.203201
  6.60679719e-04   0.00000000e+00   3.83994644e+00   1.00000000e+00 0.203202
 0.07987532  0.          2.75883293  1.         0.203203
 -6.63483550e-04   0.00000000e+00   2.44322052e+00   1.00000000e+00 0.203204
-0.07987816  0.          3.52439281  1.         0.203205
  6.66142124e-04   0.00000000e+00   3.83998199e+00   1.00000000e+00 0.203206
 0.0798811   0.          2.75875004  1.         0.203207
 -6.68961460e-04   0.00000000e+00   2.44318494e+00   1.00000000e+00 0.203208
-0.07988399  0.          3.52447684  1.         0.203209
  6.71639304e-04   0.00000000e+00   3.84001741e+00   1.00000000e+00 0.20321
 0.07988689  0.          2.75866663  1.         0.203211
 -6.74304575e-04   0.00000000e+00   2.44314988e+00   1.00000000e+00 0.203212
-0.07988972  0.          3.52455944  1.         0.203213
  6.77035357e-04   0.00000000e+00   3.84005298e+00   1.00000000e+00 0.203214
 0.07989263  0.          2.75858435  1.         0.203215
 -6.79677593e-04   0.00000000e+00   2.44311511e+00   1.00000000e+00 0.203216
-0.07989547  0.          3.52464153  1.         0.203217
  6.82463218e-04   0.00000000e+00   3.84008838e+00   1.00000000e+00 0.203218
 0.07989839  0.          2.75850167  1.         0.203219
 -6.85124267e-04   0.00000000e+00   2.44307917e+00   1.00000000e+00 0.20322
-0.0799012   0.          3.52472375  1.         0.203221
  6.87840342e-04   0.00000000e+00   3.84012390e+00   1.00000000e+00 0.203222
 0.07990416  0.          2.75841926  1.         0.203223
 -6.90575021e-04   0.00000000e+00   2.44304370e+00   1.00000000e+00 0.203224
-0.07990697  0.          3.52480684  1.         0.203225
  6.93236095e-04   0.00000000e+00   3.84015880e+00   1.00000000e+00 0.203226
 0.0799099   0.          2.75833677  1.         0.203227
 -6.95862576e-04   0.00000000e+00   2.44300798e+00   1.00000000e+00 0.203228
-0.07991277  0.          3.52489007  1.         0.203229
