eig1   eig2   A
0.000552527068517 0.961912424759 0.75
0.000537719829609 0.988400692987 0.7525
0.000523824927487 1.01461886278 0.755
0.00051393371482 1.03414630504 0.7575
0.000579780305477 0.916696630079 0.76
0.00064991928291 0.817767169242 0.7625
0.00069134330967 0.768768056029 0.765
0.000736808540458 0.721330743386 0.7675
0.000787260193784 0.675104185906 0.77
0.000843507769203 0.630086256021 0.7725
0.000906509659377 0.586295630412 0.775
0.000977445166005 0.543746770364 0.7775
0.00105775593324 0.502462463708 0.78
0.0011492510012 0.462460029763 0.7825
0.00125421360071 0.423757685228 0.785
0.0013755643519 0.3863742554 0.7875
0.00151709881259 0.350328302818 0.79
0.00168385785322 0.315633918389 0.7925
0.00188261527889 0.282310814205 0.795
0.00212279872616 0.250368838868 0.7975
0.00241778811517 0.219821848278 0.8
0.00278743867381 0.190670617156 0.8025
0.00326244095522 0.162909508406 0.805
0.00389326757755 0.136513260811 0.8075
0.00477028061603 0.111415385173 0.81
0.00607693414687 0.0874590112998 0.8125
0.00827812921216 0.0642032322278 0.815
0.0134072689904 0.0396413805526 0.8175
(0.0176331976618+0.0148510266459j) (0.0176331976618-0.0148510266459j) 0.82
(0.00957965280161+0.0209693324744j) (0.00957965280161-0.0209693324744j) 0.8225
(0.0023775896833+0.0229309772909j) (0.0023775896833-0.0229309772909j) 0.825
(-0.0039585153852+0.0227115126789j) (-0.0039585153852-0.0227115126789j) 0.8275
(-0.00941498099683+0.0210437825746j) (-0.00941498099683-0.0210437825746j) 0.83
(-0.0139772215778+0.0183335738247j) (-0.0139772215778-0.0183335738247j) 0.8325
(-0.0176306526526+0.0148540479083j) (-0.0176306526526-0.0148540479083j) 0.835
(-0.0203605337418+0.0108134785323j) (-0.0203605337418-0.0108134785323j) 0.8375
(-0.022151794393+0.00638597348816j) (-0.022151794393-0.00638597348816j) 0.84
(-0.0229890068222+0.00172864616089j) (-0.0229890068222-0.00172864616089j) 0.8425
(-0.0228567593447+0.00300852197597j) (-0.0228567593447-0.00300852197597j) 0.845
(-0.0217392904263+0.00767371513553j) (-0.0217392904263-0.00767371513553j) 0.8475
(-0.0196206570581+0.0121042335085j) (-0.0196206570581-0.0121042335085j) 0.85
(-0.0164845405605+0.0161165311009j) (-0.0164845405605-0.0161165311009j) 0.8525
(-0.0123146292621+0.0194892934289j) (-0.0123146292621-0.0194892934289j) 0.855
(-0.00709414327047+0.0219352634695j) (-0.00709414327047-0.0219352634695j) 0.8575
(-0.000806189877664+0.023039807076j) (-0.000806189877664-0.023039807076j) 0.86
(0.00656656099528+0.0220989350177j) (0.00656656099528-0.0220989350177j) 0.8625
(0.0150414359412+0.0174710576968j) (0.0150414359412-0.0174710576968j) 0.865
0.0333218436307 0.0159499773815 0.8675
0.0621904255874 0.00854605266324 0.87
0.0885074165838 0.00600495046329 0.8725
0.116058242911 0.0045794476884 0.875
0.145495315398 0.00365291934497 0.8775
0.177081681785 0.00300134179245 0.88
0.210960441013 0.0025193474647 0.8825
0.247228548177 0.00214976246125 0.885
0.285958985189 0.00185859749036 0.8875
0.327212846455 0.00162427196235 0.89
0.371046058514 0.0014323899689 0.8925
0.417508386249 0.00127298677038 0.895
0.466649872014 0.00113893238613 0.8975
0.518517920392 0.00102500344021 0.9
0.573158590833 0.000927287247747 0.9025
0.630617930535 0.000842796607084 0.905
0.690943353288 0.000769213061659 0.9075
0.754178717182 0.000704717118257 0.91
0.820373599133 0.000647854407778 0.9125
0.889574828596 0.000597456936882 0.915
0.961813661878 0.000552583804202 0.9175
1.03629146975 0.000512869851514 0.92
0.889574828596 0.000597456936882 0.9225
0.621068301819 0.000855755559674 0.925
0.465035547759 0.00114288607565 0.9275
0.307185609908 0.00173016780433 0.93
0.14611550811 0.00363741439283 0.9325
(-0.00546867771836+0.022395897308j) (-0.00546867771836-0.022395897308j) 0.935
-0.00311798331815 -0.170457182736 0.9375
-0.336158627784 -0.00158104718514 0.94
-0.00105689273192 -0.502872842414 0.9425
-0.670837628726 -0.000792267203657 0.945
